name,ranker,game_season,date_game,age,team_id,game_location,opp_id,game_result,college_name,games_started,minutes_played,field_goals,field_goal_attempts,field_goal_pct,three_point_field_goals,three_point_field_goal_attempts,three_point_field_goal_pct,free_throws,free_throw_attempts,free_throw_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,daily_fantasy_sports_points,uri
Tony Delk,24,24,2002-01-08,27-345,PHO,@,UTA,L (-14),,0,23:00,3,11,.273,2,4,.500,0,0,,2,3,5,3,3,1,2,1,8,7.2,-17,,/players/d/delkto01.html
Tony Delk,25,25,2002-01-10,27-347,PHO,,MEM,L (-6),,0,11:00,0,2,.000,0,1,.000,0,0,,0,0,0,2,0,0,1,1,0,-1.4,+1,,/players/d/delkto01.html
Tony Delk,26,26,2002-01-12,27-349,PHO,,MIA,W (+34),,0,21:00,4,12,.333,0,3,.000,0,0,,1,5,6,1,0,0,0,0,8,4.1,+15,,/players/d/delkto01.html
Tony Delk,27,27,2002-01-13,27-350,PHO,@,SAC,L (-3),,0,20:00,3,10,.300,1,2,.500,1,2,.500,1,1,2,1,2,0,2,2,8,2.7,+1,,/players/d/delkto01.html
Tony Delk,28,28,2002-01-16,27-353,PHO,,POR,L (-9),,0,25:00,7,17,.412,3,7,.429,0,0,,4,3,7,2,1,0,0,3,17,12.8,-4,,/players/d/delkto01.html
Tony Delk,29,29,2002-01-18,27-355,PHO,,MIN,W (+3),,0,33:00,3,13,.231,2,6,.333,0,0,,1,6,7,2,0,0,0,1,8,3.6,+6,,/players/d/delkto01.html
Tony Delk,30,30,2002-01-22,27-359,PHO,@,MIL,W (+11),,0,17:00,4,9,.444,3,6,.500,0,0,,1,3,4,2,0,0,0,3,11,8.1,+2,,/players/d/delkto01.html
Tony Delk,31,31,2002-01-24,27-361,PHO,@,NYK,L (-5),,0,15:00,2,5,.400,1,3,.333,0,0,,0,2,2,0,0,0,1,4,5,0.3,-3,,/players/d/delkto01.html
Tony Delk,32,32,2002-01-26,27-363,PHO,@,WAS,L (-10),,0,20:00,1,6,.167,0,2,.000,1,2,.500,0,2,2,1,2,0,1,3,3,-0.1,+3,,/players/d/delkto01.html
Tony Delk,33,33,2002-01-29,28-001,PHO,,CHI,W (+1),,0,17:00,2,8,.250,0,3,.000,0,0,,1,1,2,0,1,0,0,1,4,0.8,-5,,/players/d/delkto01.html
Tony Delk,34,34,2002-02-01,28-004,PHO,,GSW,W (+6),,0,24:00,3,8,.375,0,3,.000,1,2,.500,0,0,0,3,0,0,0,2,7,3.5,+7,,/players/d/delkto01.html
Tony Delk,35,35,2002-02-03,28-006,PHO,@,GSW,W (+1),,0,13:00,3,7,.429,0,0,,0,0,,2,0,2,0,0,0,1,0,6,2.7,+1,,/players/d/delkto01.html
Tony Delk,36,36,2002-02-06,28-009,PHO,@,SEA,L (-11),,0,21:00,5,12,.417,0,0,,2,2,1.000,2,1,3,1,0,0,1,2,12,6.2,-6,,/players/d/delkto01.html
Tony Delk,37,37,2002-02-12,28-015,PHO,@,DET,W (+28),,0,20:00,3,10,.300,1,3,.333,2,2,1.000,1,2,3,4,1,0,2,1,9,5.9,+13,,/players/d/delkto01.html
Tony Delk,38,38,2002-02-13,28-016,PHO,@,MIN,L (-15),,0,19:00,2,8,.250,1,6,.167,3,4,.750,0,1,1,0,0,0,1,1,8,1.7,-6,,/players/d/delkto01.html
Tony Delk,39,39,2002-02-15,28-018,PHO,,WAS,L (-1),,0,23:00,6,14,.429,1,3,.333,4,5,.800,0,0,0,0,0,0,1,1,17,7.8,+3,,/players/d/delkto01.html
Tony Delk,40,40,2002-02-17,28-020,PHO,,DAL,L (-13),,1,39:00,8,19,.421,4,9,.444,5,6,.833,1,2,3,5,2,0,1,2,25,19.5,+4,,/players/d/delkto01.html
Tony Delk,41,41,2002-02-19,28-022,PHO,,SEA,L (-12),,0,17:00,2,8,.250,1,3,.333,0,0,,1,1,2,2,0,0,2,1,5,0.2,-5,,/players/d/delkto01.html
Tony Delk,42,42,2002-02-23,28-026,BOS,@,HOU,L (-10),,1,23:00,1,4,.250,1,3,.333,0,0,,0,2,2,3,1,0,1,2,3,2.5,+15,,/players/d/delkto01.html
Tony Delk,43,43,2002-02-27,28-030,BOS,,MIL,L (-3),,1,21:00,1,8,.125,0,3,.000,2,2,1.000,0,3,3,2,0,0,2,2,4,-1.7,-6,,/players/d/delkto01.html
Tony Delk,44,44,2002-03-01,28-032,BOS,,CHH,L (-13),,0,24:00,2,7,.286,0,1,.000,0,1,.000,2,2,4,1,1,0,1,2,4,1.4,-15,,/players/d/delkto01.html
Tony Delk,45,45,2002-03-04,28-035,BOS,@,PHI,W (+6),,1,37:00,3,7,.429,0,0,,6,6,1.000,2,5,7,4,1,0,2,0,12,13.0,+4,,/players/d/delkto01.html
Tony Delk,46,46,2002-03-06,28-037,BOS,,ORL,W (+20),,1,27:00,4,7,.571,4,5,.800,1,2,.500,0,2,2,3,0,1,1,1,13,11.3,+19,,/players/d/delkto01.html
Tony Delk,47,47,2002-03-08,28-039,BOS,,DET,W (+25),,1,33:00,3,8,.375,0,1,.000,0,0,,1,8,9,2,1,1,1,2,6,6.0,+26,,/players/d/delkto01.html
Tony Delk,48,48,2002-03-10,28-041,BOS,,WAS,W (+7),,1,35:00,5,10,.500,2,6,.333,0,0,,0,1,1,4,0,0,1,3,12,7.9,+10,,/players/d/delkto01.html
Tony Delk,49,49,2002-03-11,28-042,BOS,@,WAS,W (+5),,1,38:00,6,11,.545,3,5,.600,4,4,1.000,0,2,2,2,3,0,0,4,19,17.1,+2,,/players/d/delkto01.html
Tony Delk,50,50,2002-03-13,28-044,BOS,,NJN,W (+8),,1,23:00,2,8,.250,1,2,.500,1,1,1.000,0,3,3,3,3,0,0,5,6,5.2,-10,,/players/d/delkto01.html
Tony Delk,51,51,2002-03-15,28-046,BOS,@,MEM,W (+6),,1,32:00,4,13,.308,2,5,.400,1,2,.500,5,1,6,2,1,0,0,1,11,8.9,+8,,/players/d/delkto01.html
Tony Delk,52,52,2002-03-16,28-047,BOS,@,SAS,L (-7),,1,32:00,3,6,.500,2,3,.667,0,0,,0,6,6,5,1,0,0,3,8,10.1,-1,,/players/d/delkto01.html
Tony Delk,53,53,2002-03-18,28-049,BOS,,POR,L (-9),,1,22:00,1,7,.143,0,3,.000,0,0,,0,0,0,1,2,0,4,1,2,-4.2,-5,,/players/d/delkto01.html
Tony Delk,54,54,2002-03-20,28-051,BOS,,CLE,W (+26),,1,33:00,7,16,.438,1,5,.200,1,2,.500,1,5,6,1,1,0,0,1,16,10.7,+15,,/players/d/delkto01.html
Tony Delk,55,55,2002-03-22,28-053,BOS,,PHI,L (-5),,1,33:00,3,10,.300,2,7,.286,1,2,.500,2,2,4,3,0,1,1,2,9,5.8,-11,,/players/d/delkto01.html
Tony Delk,56,56,2002-03-24,28-055,BOS,@,DET,L (-8),,0,18:00,0,2,.000,0,2,.000,0,0,,1,0,1,1,0,0,0,0,0,0.0,-14,,/players/d/delkto01.html
Tony Delk,57,57,2002-03-25,28-056,BOS,@,MIA,W (+5),,1,21:00,1,6,.167,0,1,.000,0,0,,1,1,2,3,0,0,1,0,2,0.3,-13,,/players/d/delkto01.html
Tony Delk,58,58,2002-03-27,28-058,BOS,,GSW,W (+3),,1,20:00,2,5,.400,1,2,.500,0,2,.000,1,6,7,2,1,0,3,3,5,2.2,+4,,/players/d/delkto01.html
Tony Delk,59,59,2002-03-29,28-060,BOS,,DAL,L (-26),,1,33:00,7,14,.500,0,4,.000,3,4,.750,1,5,6,2,3,0,1,3,17,14.0,-2,,/players/d/delkto01.html
Tony Delk,60,60,2002-03-31,28-062,BOS,,MIL,W (+30),,0,24:00,2,8,.250,1,4,.250,0,0,,1,0,1,1,2,0,0,1,5,3.2,+19,,/players/d/delkto01.html
Tony Delk,61,61,2002-04-02,28-064,BOS,@,IND,W (+11),,0,18:00,0,4,.000,0,3,.000,2,2,1.000,0,1,1,2,0,1,0,1,2,1.2,-2,,/players/d/delkto01.html
Tony Delk,62,62,2002-04-15,28-077,BOS,@,MIN,W (+3),,0,6:00,1,1,1.000,0,0,,0,0,,1,2,3,0,0,0,0,0,2,3.0,+1,,/players/d/delkto01.html
Tony Delk,63,63,2002-04-17,28-079,BOS,,ATL,W (+8),,0,17:00,2,10,.200,0,2,.000,0,0,,1,2,3,4,1,2,0,1,4,3.9,+5,,/players/d/delkto01.html
Mike Penberthy,1,1,2001-11-02,26-338,LAL,,PHO,W (+23),,0,4:00,1,1,1.000,0,0,,0,0,,0,0,0,1,2,0,0,0,2,4.4,+5,,/players/p/penbemi01.html
Mike Penberthy,2,2,2001-11-04,26-340,LAL,,UTA,W (+4),,0,2:00,0,0,,0,0,,1,2,.500,0,1,1,1,0,0,0,0,1,1.6,+1,,/players/p/penbemi01.html
Mike Penberthy,3,3,2001-11-09,26-345,LAL,,MEM,W (+24),,0,6:00,0,1,.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,1.6,-8,,/players/p/penbemi01.html
Tyrone Hill,1,1,2002-02-16,33-334,CLE,@,CHI,W (+13),,1,31:00,5,12,.417,0,0,,6,7,.857,8,7,15,0,0,0,3,5,16,11.9,-2,,/players/h/hillty01.html
Tyrone Hill,2,2,2002-02-18,33-336,CLE,,UTA,L (-11),,1,26:00,1,7,.143,0,0,,1,2,.500,1,6,7,0,2,0,0,6,3,0.2,+4,,/players/h/hillty01.html
Tyrone Hill,3,3,2002-02-21,33-339,CLE,,LAL,L (-7),,1,30:00,1,7,.143,0,0,,1,2,.500,7,7,14,4,0,0,3,5,3,2.9,-4,,/players/h/hillty01.html
Tyrone Hill,4,4,2002-02-22,33-340,CLE,@,IND,W (+10),,1,38:00,3,10,.300,0,0,,4,6,.667,4,13,17,1,1,0,2,5,10,7.8,-1,,/players/h/hillty01.html
Tyrone Hill,5,5,2002-02-24,33-342,CLE,,ORL,W (+15),,1,34:00,2,4,.500,0,0,,0,0,,3,8,11,2,0,0,2,4,4,4.3,+4,,/players/h/hillty01.html
Tyrone Hill,6,6,2002-02-26,33-344,CLE,,SEA,L (-20),,1,19:00,1,2,.500,0,0,,3,5,.600,0,1,1,0,0,0,1,4,5,0.9,-6,,/players/h/hillty01.html
Tyrone Hill,7,7,2002-02-28,33-346,CLE,,SAS,W (+7),,1,42:00,4,8,.500,0,0,,2,2,1.000,1,7,8,0,1,1,1,5,10,7.5,+10,,/players/h/hillty01.html
Tyrone Hill,8,8,2002-03-02,33-348,CLE,@,ATL,L (-3),,1,38:00,2,6,.333,0,0,,1,2,.500,2,8,10,2,1,2,1,2,5,7.0,-5,,/players/h/hillty01.html
Tyrone Hill,9,9,2002-03-03,33-349,CLE,,MIL,L (-10),,1,35:00,4,7,.571,0,0,,4,5,.800,1,11,12,0,0,0,3,3,12,8.1,-21,,/players/h/hillty01.html
Tyrone Hill,10,10,2002-03-05,33-351,CLE,,ATL,W (+7),,1,29:00,4,9,.444,0,0,,2,5,.400,4,8,12,2,0,0,3,6,10,5.3,0,,/players/h/hillty01.html
Tyrone Hill,11,11,2002-03-06,33-352,CLE,@,PHI,L (-9),,1,36:00,3,6,.500,0,0,,4,6,.667,5,5,10,0,1,0,4,3,10,7.0,-5,,/players/h/hillty01.html
Tyrone Hill,12,12,2002-03-08,33-354,CLE,@,MIL,W (+6),,1,42:00,4,9,.444,0,0,,8,10,.800,2,7,9,0,0,0,0,3,16,12.8,+7,,/players/h/hillty01.html
Tyrone Hill,13,13,2002-03-13,33-359,CLE,@,DET,L (-1),,1,38:00,3,10,.300,0,0,,5,8,.625,2,7,9,0,1,0,3,4,11,3.9,+3,,/players/h/hillty01.html
Tyrone Hill,14,14,2002-03-16,33-362,CLE,@,NYK,L (-10),,1,27:00,1,6,.167,0,0,,2,2,1.000,3,6,9,0,0,0,0,5,4,2.1,-15,,/players/h/hillty01.html
Tyrone Hill,15,15,2002-03-17,33-363,CLE,,NYK,W (+5),,1,33:00,3,8,.375,0,0,,0,0,,1,8,9,0,0,0,1,2,6,2.9,-1,,/players/h/hillty01.html
Tyrone Hill,16,16,2002-03-22,34-003,CLE,,TOR,L (-14),,1,21:00,3,5,.600,0,0,,1,1,1.000,2,4,6,0,2,0,3,3,7,5.1,-14,,/players/h/hillty01.html
Tyrone Hill,17,17,2002-03-30,34-011,CLE,,CHH,L (-8),,1,36:00,6,11,.545,0,1,.000,1,4,.250,5,10,15,1,2,1,4,4,13,10.8,-4,,/players/h/hillty01.html
Tyrone Hill,18,18,2002-04-02,34-014,CLE,,PHO,W (+5),,1,29:00,3,7,.429,0,0,,5,8,.625,6,9,15,3,0,5,1,2,11,16.8,+13,,/players/h/hillty01.html
Tyrone Hill,19,19,2002-04-04,34-016,CLE,@,ORL,L (-4),,1,27:00,2,6,.333,0,0,,2,4,.500,2,9,11,1,1,1,2,6,6,3.9,-8,,/players/h/hillty01.html
Tyrone Hill,20,20,2002-04-06,34-018,CLE,,CHI,W (+19),,1,28:00,2,7,.286,0,0,,2,3,.667,3,10,13,1,2,1,1,3,6,7.8,+6,,/players/h/hillty01.html
Tyrone Hill,21,21,2002-04-08,34-020,CLE,@,IND,W (+12),,1,31:00,4,12,.333,0,0,,5,9,.556,6,11,17,2,0,1,3,4,13,9.6,+6,,/players/h/hillty01.html
Tyrone Hill,22,22,2002-04-10,34-022,CLE,,MIL,W (+25),,1,29:00,3,4,.750,0,0,,2,2,1.000,1,8,9,0,0,0,1,3,8,7.3,+18,,/players/h/hillty01.html
Tyrone Hill,23,23,2002-04-12,34-024,CLE,@,CHH,L (-12),,1,26:00,1,6,.167,0,0,,0,0,,3,7,10,1,1,0,1,4,2,1.5,-14,,/players/h/hillty01.html
Tyrone Hill,24,24,2002-04-13,34-025,CLE,@,ATL,L (-5),,1,38:00,5,8,.625,0,0,,1,2,.500,3,9,12,1,1,0,2,3,11,10.3,-5,,/players/h/hillty01.html
Tyrone Hill,25,25,2002-04-16,34-028,CLE,,IND,L (-4),,1,24:00,1,2,.500,0,0,,3,4,.750,1,2,3,1,1,1,1,3,5,5.1,-8,,/players/h/hillty01.html
Tyrone Hill,26,26,2002-04-17,34-029,CLE,@,TOR,L (-18),,1,23:00,0,3,.000,0,0,,2,4,.500,3,7,10,1,0,0,2,5,2,0.0,+2,,/players/h/hillty01.html
Darrick Martin,1,1,2001-11-14,30-253,DAL,@,CLE,W (+13),,0,4:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.8,-6,,/players/m/martida01.html
Darrick Martin,2,2,2001-11-15,30-254,DAL,@,DET,L (-26),,0,11:00,0,5,.000,0,0,,0,0,,0,0,0,3,0,0,0,1,0,-1.8,-8,,/players/m/martida01.html
Darrick Martin,3,3,2001-11-17,30-256,DAL,@,HOU,L (-37),,0,7:00,0,4,.000,0,2,.000,1,2,.500,0,0,0,0,2,0,0,2,1,-1.0,-9,,/players/m/martida01.html
Sean Rooks,1,1,2001-10-30,32-051,LAC,@,SAS,L (-11),,0,14:00,0,1,.000,0,0,,2,2,1.000,0,2,2,0,0,0,2,2,2,-0.9,-14,,/players/r/rooksse01.html
Sean Rooks,2,2,2001-11-01,32-053,LAC,@,HOU,L (-6),,0,10:00,1,2,.500,0,0,,0,1,.000,2,4,6,0,0,0,0,0,2,3.2,+2,,/players/r/rooksse01.html
Sean Rooks,3,3,2001-11-03,32-055,LAC,,GSW,L (-2),,0,7:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,+7,,/players/r/rooksse01.html
Sean Rooks,4,4,2001-11-07,32-059,LAC,,MEM,W (+16),,0,20:00,3,8,.375,0,0,,3,3,1.000,4,2,6,0,1,1,1,2,9,7.9,+6,,/players/r/rooksse01.html
Sean Rooks,5,5,2001-11-08,32-060,LAC,@,POR,L (-18),,0,15:00,3,4,.750,0,0,,0,0,,0,1,1,1,0,1,0,3,6,4.9,-9,,/players/r/rooksse01.html
Sean Rooks,6,6,2001-11-14,32-066,LAC,,CHI,W (+4),,0,14:00,1,3,.333,0,0,,0,0,,0,2,2,1,0,1,2,2,2,-0.5,+11,,/players/r/rooksse01.html
Sean Rooks,7,7,2001-11-16,32-068,LAC,,TOR,L (-9),,0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2,,/players/r/rooksse01.html
Sean Rooks,8,8,2001-11-18,32-070,LAC,,NYK,W (+13),,0,5:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-2,,/players/r/rooksse01.html
Sean Rooks,9,9,2001-11-20,32-072,LAC,,LAL,L (-5),,0,23:00,7,9,.778,0,0,,2,2,1.000,2,3,5,1,0,0,2,3,16,12.3,+9,,/players/r/rooksse01.html
Sean Rooks,10,10,2001-11-22,32-074,LAC,,NJN,L (-5),,0,12:00,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,2,2,-0.2,-10,,/players/r/rooksse01.html
Sean Rooks,11,11,2001-11-23,32-075,LAC,@,UTA,L (-5),,0,13:00,1,3,.333,0,0,,0,0,,2,1,3,1,0,0,0,5,2,0.7,-12,,/players/r/rooksse01.html
Sean Rooks,12,12,2001-11-25,32-077,LAC,,HOU,W (+7),,0,5:00,0,1,.000,0,0,,0,0,,0,1,1,1,0,1,0,1,0,0.6,+1,,/players/r/rooksse01.html
Sean Rooks,13,13,2001-11-30,32-082,LAC,@,DEN,L (-3),,0,16:00,1,5,.200,0,0,,0,0,,1,3,4,0,0,1,0,1,2,0.8,-5,,/players/r/rooksse01.html
Sean Rooks,14,14,2001-12-02,32-084,LAC,,IND,W (+31),,0,9:00,1,2,.500,0,0,,0,0,,0,1,1,0,1,0,0,0,2,2.3,+9,,/players/r/rooksse01.html
Sean Rooks,15,15,2001-12-04,32-086,LAC,,MIA,W (+4),,0,14:00,1,4,.250,0,0,,1,2,.500,0,1,1,0,0,0,1,2,3,-1.3,-7,,/players/r/rooksse01.html
Sean Rooks,16,16,2001-12-07,32-089,LAC,,UTA,L (-16),,0,10:00,1,2,.500,0,0,,0,0,,1,4,5,0,0,1,0,2,2,2.8,-1,,/players/r/rooksse01.html
Sean Rooks,17,17,2001-12-10,32-092,LAC,,ORL,W (+8),,0,18:00,3,4,.750,0,0,,0,0,,0,2,2,0,0,0,0,1,6,4.6,+24,,/players/r/rooksse01.html
Sean Rooks,18,18,2001-12-12,32-094,LAC,,SEA,W (+20),,0,6:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.2,0,,/players/r/rooksse01.html
Sean Rooks,19,19,2001-12-14,32-096,LAC,@,LAL,L (-30),,0,11:00,0,4,.000,0,0,,0,0,,0,2,2,0,0,1,0,2,0,-2.3,-11,,/players/r/rooksse01.html
Sean Rooks,20,20,2001-12-16,32-098,LAC,,DET,W (+5),,0,11:00,1,2,.500,0,0,,2,3,.667,0,2,2,0,0,1,0,2,4,3.1,-3,,/players/r/rooksse01.html
Sean Rooks,21,21,2001-12-18,32-100,LAC,@,PHO,W (+4),,0,9:00,1,2,.500,0,0,,0,0,,1,2,3,0,0,0,0,2,2,1.5,-3,,/players/r/rooksse01.html
Sean Rooks,22,22,2001-12-22,32-104,LAC,,SAC,W (+16),,0,8:00,2,3,.667,0,0,,0,0,,0,2,2,2,0,0,0,1,4,4.3,+6,,/players/r/rooksse01.html
Sean Rooks,23,23,2001-12-26,32-108,LAC,,PHI,L (-14),,0,6:00,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,1,2,2,-1.2,-3,,/players/r/rooksse01.html
Sean Rooks,24,24,2001-12-27,32-109,LAC,@,SEA,L (-11),,0,23:00,3,5,.600,0,0,,2,2,1.000,0,3,3,1,1,2,0,3,8,8.5,+16,,/players/r/rooksse01.html
Sean Rooks,25,25,2001-12-29,32-111,LAC,,BOS,L (-2),,0,5:00,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,3,0,-1.3,-3,,/players/r/rooksse01.html
Sean Rooks,26,26,2002-01-01,32-114,LAC,,POR,W (+15),,1,18:00,1,2,.500,0,0,,0,0,,1,2,3,1,0,0,0,2,2,2.2,+1,,/players/r/rooksse01.html
Sean Rooks,27,27,2002-01-02,32-115,LAC,@,SAC,L (-14),,0,4:00,0,2,.000,0,0,,0,2,.000,1,1,2,0,1,0,0,0,0,-0.2,+2,,/players/r/rooksse01.html
Sean Rooks,28,28,2002-01-04,32-117,LAC,@,DEN,W (+2),,0,7:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,2,0,0,0,1.4,-3,,/players/r/rooksse01.html
Sean Rooks,29,29,2002-01-05,32-118,LAC,,MIL,W (+3),,0,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-2,,/players/r/rooksse01.html
Sean Rooks,30,30,2002-01-08,32-121,LAC,@,WAS,L (-8),,0,21:00,2,8,.250,0,0,,0,0,,0,1,1,0,1,1,1,1,4,-0.2,-2,,/players/r/rooksse01.html
Sean Rooks,31,31,2002-01-10,32-123,LAC,@,NJN,L (-19),,0,13:00,1,4,.250,0,0,,2,2,1.000,0,1,1,0,0,0,0,2,4,1.1,-6,,/players/r/rooksse01.html
Sean Rooks,32,32,2002-01-15,32-128,LAC,@,MIN,L (-14),,0,13:00,0,3,.000,0,0,,0,0,,0,3,3,1,0,0,0,2,0,-1.3,-3,,/players/r/rooksse01.html
Sean Rooks,33,33,2002-01-18,32-131,LAC,,CLE,W (+6),,0,7:00,2,2,1.000,0,0,,0,0,,0,0,0,0,0,2,0,2,4,4.0,0,,/players/r/rooksse01.html
Sean Rooks,34,34,2002-01-19,32-132,LAC,@,POR,L (-20),,0,26:00,4,8,.500,0,0,,0,0,,2,3,5,4,2,0,1,1,8,9.7,+7,,/players/r/rooksse01.html
