date,area,name,uri
2009-01-04,eastern,R. Stuckey,/players/s/stuckro01.html
2008-12-28,western,K. Bryant,/players/b/bryanko01.html
2008-12-28,eastern,L. James,/players/j/jamesle01.html
2008-12-21,western,C. Paul,/players/p/paulch01.html
2008-12-21,eastern,J. Nelson,/players/n/nelsoja01.html
2008-12-14,western,T. Duncan,/players/d/duncati01.html
2008-12-14,eastern,A. Harrington,/players/h/harrial01.html
2008-12-07,western,D. Nowitzki,/players/n/nowitdi01.html
2008-12-07,eastern,D. Wade,/players/w/wadedw01.html
2008-11-30,western,B. Roy,/players/r/roybr01.html
2008-11-30,eastern,D. Harris,/players/h/harride01.html
2008-11-23,western,D. Nowitzki,/players/n/nowitdi01.html
2008-11-23,eastern,D. Wade,/players/w/wadedw01.html
2008-11-16,western,C. Billups,/players/b/billuch01.html
2008-11-16,eastern,L. James,/players/j/jamesle01.html
2008-11-09,western,A. Stoudemire,/players/s/stoudam01.html
2008-11-09,eastern,L. James,/players/j/jamesle01.html
2008-11-02,western,C. Paul,/players/p/paulch01.html
2008-11-02,eastern,C. Bosh,/players/b/boshch01.html
2008-04-13,western,A. Iverson,/players/i/iversal01.html
2008-04-13,eastern,K. Garnett,/players/g/garneke01.html
2008-04-06,western,K. Bryant,/players/b/bryanko01.html
2008-04-06,eastern,J. Johnson,/players/j/johnsjo02.html
2008-03-30,western,C. Anthony,/players/a/anthoca01.html
2008-03-30,eastern,J. Richardson,/players/r/richaja01.html
2008-03-23,western,C. Paul,/players/p/paulch01.html
2008-03-23,eastern,K. Garnett,/players/g/garneke01.html
2008-03-16,western,A. Stoudemire,/players/s/stoudam01.html
2008-03-16,eastern,A. Jamison,/players/j/jamisan01.html
2008-03-09,western,T. McGrady,/players/m/mcgratr01.html
2008-03-09,eastern,J. Richardson,/players/r/richaja01.html
2008-03-02,western,K. Bryant,/players/b/bryanko01.html
2008-03-02,eastern,A. Miller,/players/m/millean02.html
2008-02-24,western,M. Ginobili,/players/g/ginobma01.html
2008-02-24,eastern,L. James,/players/j/jamesle01.html
2008-02-10,western,A. Stoudemire,/players/s/stoudam01.html
2008-02-10,eastern,A. Miller,/players/m/millean02.html
2008-02-03,western,B. Miller,/players/m/millebr01.html
2008-02-03,eastern,H. Turkoglu,/players/t/turkohe01.html
2008-01-27,western,A. Jefferson,/players/j/jeffeal01.html
2008-01-27,eastern,H. Turkoglu,/players/t/turkohe01.html
2008-01-20,western,B. Davis,/players/d/davisba01.html
2008-01-20,eastern,G. Wallace,/players/w/wallage01.html
2008-01-13,western,K. Bryant,/players/b/bryanko01.html
2008-01-13,eastern,C. Bosh,/players/b/boshch01.html
2008-01-06,western,A. Iverson,/players/i/iversal01.html
2008-01-06,eastern,L. James,/players/j/jamesle01.html
2007-12-30,western,C. Paul,/players/p/paulch01.html
2007-12-30,eastern,P. Pierce,/players/p/piercpa01.html
2007-12-23,western,C. Anthony,/players/a/anthoca01.html
