name,team,short_team,number,pos,height,weight,birth_date,birth_country,years_experience,college_name,uri
Tyshawn Taylor,Brooklyn Nets,BRK,10,PG,6-3,185,"April 12, 1990",us,1,University of Kansas,/players/t/tayloty01.html
Marquis Teague,Brooklyn Nets,BRK,12,SG,6-2,189,"February 28, 1993",us,1,University of Kentucky,/players/t/teaguma01.html
Mirza Teletovic,Brooklyn Nets,BRK,33,SF,6-9,242,"September 18, 1985",ba,1,,/players/t/teletmi01.html
Jason Terry,Brooklyn Nets,BRK,31,PG,6-2,185,"September 15, 1977",us,14,University of Arizona,/players/t/terryja01.html
Marcus Thornton,Brooklyn Nets,BRK,10,SG,6-4,205,"June 5, 1987",us,4,Louisiana State University,/players/t/thornma01.html
Deron Williams,Brooklyn Nets,BRK,8,PG,6-3,200,"June 26, 1984",us,8,University of Illinois at Urbana-Champaign,/players/w/willide01.html
Jeff Adrien,Charlotte Hornets,CHA,4,PF,6-7,245,"February 10, 1986",us,3,University of Connecticut,/players/a/adrieje01.html
Bismack Biyombo,Charlotte Hornets,CHA,0,C,6-9,245,"August 28, 1992",cd,2,,/players/b/biyombi01.html
Chris Douglas-Roberts,Charlotte Hornets,CHA,55,SF,6-7,200,"January 8, 1987",us,4,University of Memphis,/players/d/douglch01.html
Ben Gordon,Charlotte Hornets,CHA,8,SG,6-3,200,"April 4, 1983",gb,9,University of Connecticut,/players/g/gordobe01.html
Justin Hamilton,Charlotte Hornets,CHA,41,C,7-0,260,"April 1, 1990",us,R,Louisiana State University,/players/h/hamilju01.html
Gerald Henderson,Charlotte Hornets,CHA,9,SG,6-5,215,"December 9, 1987",us,4,Duke University,/players/h/hendege02.html
Al Jefferson,Charlotte Hornets,CHA,25,C,6-10,289,"January 4, 1985",us,9,,/players/j/jeffeal01.html
Michael Kidd-Gilchrist,Charlotte Hornets,CHA,14,SF,6-7,232,"September 26, 1993",us,1,University of Kentucky,/players/k/kiddgmi01.html
Josh McRoberts,Charlotte Hornets,CHA,11,PF,6-10,240,"February 28, 1987",us,6,Duke University,/players/m/mcrobjo01.html
Gary Neal,Charlotte Hornets,CHA,12,SG,6-4,210,"October 3, 1984",us,3,Towson University,/players/n/nealga01.html
Jannero Pargo,Charlotte Hornets,CHA,5,PG,6-1,175,"October 22, 1979",us,9,University of Arkansas,/players/p/pargoja01.html
Luke Ridnour,Charlotte Hornets,CHA,13,PG,6-2,175,"February 13, 1981",us,10,University of Oregon,/players/r/ridnolu01.html
Ramon Sessions,Charlotte Hornets,CHA,7,PG,6-3,190,"April 11, 1986",us,6,"University of Nevada, Reno",/players/s/sessira01.html
James Southerland,Charlotte Hornets,CHA,31,SF,6-8,215,"April 28, 1990",us,R,Syracuse University,/players/s/southja01.html
Jeffery Taylor,Charlotte Hornets,CHA,44,SF,6-7,225,"May 23, 1989",se,1,Vanderbilt University,/players/t/tayloje03.html
Anthony Tolliver,Charlotte Hornets,CHA,43,PF,6-8,240,"June 1, 1985",us,5,Creighton University,/players/t/tollian01.html
Kemba Walker,Charlotte Hornets,CHA,15,PG,6-1,172,"May 8, 1990",us,2,University of Connecticut,/players/w/walkeke02.html
D.J. White,Charlotte Hornets,CHA,8,PF,6-9,251,"August 31, 1986",us,5,Indiana University,/players/w/whitedj01.html
Cody Zeller,Charlotte Hornets,CHA,40,C,7-0,240,"October 5, 1992",us,R,Indiana University,/players/z/zelleco01.html
Lou Amundson,Chicago Bulls,CHI,17,PF,6-9,220,"December 7, 1982",us,7,"University of Nevada, Las Vegas",/players/a/amundlo01.html
D.J. Augustin,Chicago Bulls,CHI,14,PG,6-0,183,"November 10, 1987",us,5,University of Texas at Austin,/players/a/augusdj01.html
Carlos Boozer,Chicago Bulls,CHI,5,PF,6-9,258,"November 20, 1981",de,11,Duke University,/players/b/boozeca01.html
Ronnie Brewer,Chicago Bulls,CHI,11,SF,6-7,220,"March 20, 1985",us,7,University of Arkansas,/players/b/brewero02.html
Jimmy Butler,Chicago Bulls,CHI,21,SG,6-7,220,"September 14, 1989",us,2,Marquette University,/players/b/butleji01.html
Luol Deng,Chicago Bulls,CHI,9,SF,6-9,220,"April 16, 1985",ss,9,Duke University,/players/d/denglu01.html
Mike Dunleavy,Chicago Bulls,CHI,34,SF,6-9,230,"September 15, 1980",us,11,Duke University,/players/d/dunlemi02.html
Jimmer Fredette,Chicago Bulls,CHI,32,SG,6-2,195,"February 25, 1989",us,2,Brigham Young University,/players/f/fredeji01.html
Taj Gibson,Chicago Bulls,CHI,22,PF,6-9,225,"June 24, 1985",us,4,University of Southern California,/players/g/gibsota01.html
Kirk Hinrich,Chicago Bulls,CHI,12,PG,6-4,190,"January 2, 1981",us,10,University of Kansas,/players/h/hinriki01.html
Mike James,Chicago Bulls,CHI,8,PG,6-2,188,"June 23, 1975",us,11,Duquesne University,/players/j/jamesmi01.html
Cartier Martin,Chicago Bulls,CHI,15,SF,6-7,220,"November 20, 1984",us,5,Kansas State University,/players/m/martica01.html
Nazr Mohammed,Chicago Bulls,CHI,48,C,6-10,221,"September 5, 1977",us,15,University of Kentucky,/players/m/mohamna01.html
Erik Murphy,Chicago Bulls,CHI,31,C,6-10,230,"October 26, 1990",fr,R,University of Florida,/players/m/murpher01.html
Joakim Noah,Chicago Bulls,CHI,13,C,6-11,232,"February 25, 1985",us,6,University of Florida,/players/n/noahjo01.html
Derrick Rose,Chicago Bulls,CHI,1,PG,6-3,190,"October 4, 1988",us,4,University of Memphis,/players/r/rosede01.html
Tornike Shengelia,Chicago Bulls,CHI,7,SF,6-9,217,"October 5, 1991",ge,1,,/players/s/shengto01.html
Tony Snell,Chicago Bulls,CHI,20,SG,6-7,200,"November 10, 1991",us,R,University of New Mexico,/players/s/snellto01.html
Marquis Teague,Chicago Bulls,CHI,25,SG,6-2,189,"February 28, 1993",us,1,University of Kentucky,/players/t/teaguma01.html
Jarvis Varnado,Chicago Bulls,CHI,32,PF,6-9,230,"March 1, 1988",us,1,Mississippi State University,/players/v/varnaja01.html
Anthony Bennett,Cleveland Cavaliers,CLE,15,PF,6-8,245,"March 14, 1993",ca,R,"University of Nevada, Las Vegas",/players/b/bennean01.html
Andrew Bynum,Cleveland Cavaliers,CLE,21,C,7-0,285,"October 27, 1987",us,7,,/players/b/bynuman01.html
Earl Clark,Cleveland Cavaliers,CLE,6,PF,6-10,225,"January 17, 1988",us,4,University of Louisville,/players/c/clarkea01.html
Seth Curry,Cleveland Cavaliers,CLE,31,PG,6-2,185,"August 23, 1990",us,R,Duke University,/players/c/curryse01.html
Matthew Dellavedova,Cleveland Cavaliers,CLE,8-9,SG,6-4,198,"September 8, 1990",au,R,Saint Mary's College of California,/players/d/dellama01.html
Luol Deng,Cleveland Cavaliers,CLE,9,SF,6-9,220,"April 16, 1985",ss,9,Duke University,/players/d/denglu01.html
Shane Edwards,Cleveland Cavaliers,CLE,24,SF,6-7,220,"May 31, 1987",us,R,University of Arkansas at Little Rock,/players/e/edwarsh01.html
Carrick Felix,Cleveland Cavaliers,CLE,30,SG,6-6,201,"August 17, 1990",us,R,Arizona State University,/players/f/felixca01.html
Alonzo Gee,Cleveland Cavaliers,CLE,33,SF,6-6,225,"May 29, 1987",us,4,University of Alabama,/players/g/geeal01.html
Spencer Hawes,Cleveland Cavaliers,CLE,32,C,7-1,245,"April 28, 1988",us,6,University of Washington,/players/h/hawessp01.html
Scotty Hopson,Cleveland Cavaliers,CLE,24,SG,6-7,204,"August 8, 1989",us,R,University of Tennessee,/players/h/hopsosc01.html
Kyrie Irving,Cleveland Cavaliers,CLE,2,PG,6-3,193,"March 23, 1992",au,2,Duke University,/players/i/irvinky01.html
Jarrett Jack,Cleveland Cavaliers,CLE,1,PG,6-3,200,"October 28, 1983",us,8,Georgia Institute of Technology,/players/j/jackja01.html
Sergey Karasev,Cleveland Cavaliers,CLE,10,SF,6-7,208,"October 26, 1993",ru,R,,/players/k/karasse01.html
C.J. Miles,Cleveland Cavaliers,CLE,0,SG,6-6,231,"April 18, 1987",us,8,,/players/m/milescj01.html
Arinze Onuaku,Cleveland Cavaliers,CLE,50,PF,6-9,275,"July 13, 1987",us,R,Syracuse University,/players/o/onuakar01.html
Henry Sims,Cleveland Cavaliers,CLE,14,C,6-10,248,"March 27, 1990",us,1,Georgetown University,/players/s/simshe01.html
Tristan Thompson,Cleveland Cavaliers,CLE,13,PF,6-9,238,"March 13, 1991",ca,2,University of Texas at Austin,/players/t/thomptr01.html
Anderson Varejao,Cleveland Cavaliers,CLE,17,C,6-10,273,"September 28, 1982",br,9,,/players/v/varejan01.html
Dion Waiters,Cleveland Cavaliers,CLE,3,SG,6-4,225,"December 10, 1991",us,1,Syracuse University,/players/w/waitedi01.html
Tyler Zeller,Cleveland Cavaliers,CLE,40,C,7-0,253,"January 17, 1990",us,1,University of North Carolina,/players/z/zellety01.html
DeJuan Blair,Dallas Mavericks,DAL,45,PF,6-7,270,"April 22, 1989",us,4,University of Pittsburgh,/players/b/blairde01.html
Jose Calderon,Dallas Mavericks,DAL,8,PG,6-3,200,"September 28, 1981",es,8,,/players/c/caldejo01.html
Vince Carter,Dallas Mavericks,DAL,25,SG,6-6,220,"January 26, 1977",us,15,University of North Carolina,/players/c/cartevi01.html
Jae Crowder,Dallas Mavericks,DAL,9,SF,6-6,235,"July 6, 1990",us,1,Marquette University,/players/c/crowdja01.html
Samuel Dalembert,Dallas Mavericks,DAL,1,C,6-11,255,"May 10, 1981",ht,11,Seton Hall University,/players/d/dalemsa01.html
Wayne Ellington,Dallas Mavericks,DAL,21,SG,6-4,200,"October 29, 1987",us,4,University of North Carolina,/players/e/ellinwa01.html
Monta Ellis,Dallas Mavericks,DAL,11,PG,6-3,185,"October 26, 1985",us,8,,/players/e/ellismo01.html
Devin Harris,Dallas Mavericks,DAL,20,PG,6-3,192,"February 27, 1983",us,9,University of Wisconsin,/players/h/harride01.html
Bernard James,Dallas Mavericks,DAL,5,C,6-10,240,"February 7, 1985",us,1,Florida State University,/players/j/jamesbe01.html
Shane Larkin,Dallas Mavericks,DAL,3,PG,5-11,175,"October 2, 1992",us,R,University of Miami,/players/l/larkish01.html
Ricky Ledo,Dallas Mavericks,DAL,7,SG,6-7,195,"September 10, 1992",us,R,,/players/l/ledori01.html
Shawn Marion,Dallas Mavericks,DAL,0,SF,6-7,220,"May 7, 1978",us,14,"University of Nevada, Las Vegas",/players/m/mariosh01.html
Gal Mekel,Dallas Mavericks,DAL,33,PG,6-3,191,"March 4, 1988",il,R,Wichita State University,/players/m/mekelga01.html
Dirk Nowitzki,Dallas Mavericks,DAL,41,PF,7-0,245,"June 19, 1978",de,15,,/players/n/nowitdi01.html
Brandan Wright,Dallas Mavericks,DAL,34,C,6-10,210,"October 5, 1987",us,5,University of North Carolina,/players/w/wrighbr03.html
Darrell Arthur,Denver Nuggets,DEN,00,SF,6-9,235,"March 25, 1988",us,4,University of Kansas,/players/a/arthuda01.html
Aaron Brooks,Denver Nuggets,DEN,0,PG,6-0,161,"January 14, 1985",us,5,University of Oregon,/players/b/brookaa01.html
Wilson Chandler,Denver Nuggets,DEN,21,SF,6-8,225,"May 10, 1987",us,6,DePaul University,/players/c/chandwi01.html
Kenneth Faried,Denver Nuggets,DEN,35,PF,6-8,228,"November 19, 1989",us,2,Morehead State University,/players/f/farieke01.html
Evan Fournier,Denver Nuggets,DEN,94,SG,6-7,205,"October 29, 1992",fr,1,,/players/f/fournev01.html
Randy Foye,Denver Nuggets,DEN,4,SG,6-4,213,"September 24, 1983",us,7,Villanova University,/players/f/foyera01.html
Jordan Hamilton,Denver Nuggets,DEN,1,SF,6-7,220,"October 6, 1990",us,2,University of Texas at Austin,/players/h/hamiljo02.html
J.J. Hickson,Denver Nuggets,DEN,7,PF,6-9,242,"September 4, 1988",us,5,North Carolina State University,/players/h/hicksjj01.html
Ty Lawson,Denver Nuggets,DEN,3,PG,5-11,195,"November 3, 1987",us,4,University of North Carolina,/players/l/lawsoty01.html
JaVale McGee,Denver Nuggets,DEN,34,C,7-0,270,"January 19, 1988",us,5,"University of Nevada, Reno",/players/m/mcgeeja01.html
Andre Miller,Denver Nuggets,DEN,24,SG,6-3,200,"March 19, 1976",us,14,University of Utah,/players/m/millean02.html
Quincy Miller,Denver Nuggets,DEN,30,PF,6-9,210,"November 18, 1992",us,1,Baylor University,/players/m/millequ01.html
Timofey Mozgov,Denver Nuggets,DEN,25,C,7-1,275,"July 16, 1986",ru,3,,/players/m/mozgoti01.html
Anthony Randolph,Denver Nuggets,DEN,15,PF,6-10,205,"July 15, 1989",de,5,Louisiana State University,/players/r/randoan01.html
Nate Robinson,Denver Nuggets,DEN,10,PG,5-9,180,"May 31, 1984",us,8,University of Washington,/players/r/robinna01.html
Jan Vesely,Denver Nuggets,DEN,24,PF,6-11,240,"April 24, 1990",cz,2,,/players/v/veselja01.html
Chauncey Billups,Detroit Pistons,DET,1,SG,6-3,202,"September 25, 1976",us,16,University of Colorado,/players/b/billuch01.html
Will Bynum,Detroit Pistons,DET,12,PG,6-0,185,"January 4, 1983",us,6,Georgia Institute of Technology,/players/b/bynumwi01.html
Kentavious Caldwell-Pope,Detroit Pistons,DET,5,SG,6-5,205,"February 18, 1993",us,R,University of Georgia,/players/c/caldwke01.html
Luigi Datome,Detroit Pistons,DET,13,SF,6-8,215,"November 27, 1987",it,R,,/players/d/datomlu01.html
Andre Drummond,Detroit Pistons,DET,0,C,6-11,279,"August 10, 1993",us,1,University of Connecticut,/players/d/drumman01.html
Josh Harrellson,Detroit Pistons,DET,55,C,6-10,275,"February 12, 1989",us,2,University of Kentucky,/players/h/harrejo01.html
Brandon Jennings,Detroit Pistons,DET,7,PG,6-1,169,"September 23, 1989",us,4,,/players/j/jennibr01.html
Jonas Jerebko,Detroit Pistons,DET,33,PF,6-10,231,"March 2, 1987",se,3,,/players/j/jerebjo01.html
Tony Mitchell,Detroit Pistons,DET,9,PF,6-8,235,"April 7, 1992",us,R,University of North Texas,/players/m/mitchto02.html
Greg Monroe,Detroit Pistons,DET,10,PF,6-11,265,"June 4, 1990",us,3,Georgetown University,/players/m/monrogr01.html
Kyle Singler,Detroit Pistons,DET,25,SF,6-8,228,"May 4, 1988",us,1,Duke University,/players/s/singlky01.html
Peyton Siva,Detroit Pistons,DET,34,SG,6-0,185,"October 24, 1990",us,R,University of Louisville,/players/s/sivape01.html
Josh Smith,Detroit Pistons,DET,6,SF,6-9,225,"December 5, 1985",us,9,,/players/s/smithjo03.html
Rodney Stuckey,Detroit Pistons,DET,3,SG,6-5,205,"April 21, 1986",us,6,Eastern Washington University,/players/s/stuckro01.html
Charlie Villanueva,Detroit Pistons,DET,31,PF,6-11,232,"August 24, 1984",us,8,University of Connecticut,/players/v/villach01.html
Hilton Armstrong,Golden State Warriors,GSW,57,C,6-11,235,"November 11, 1984",us,5,University of Connecticut,/players/a/armsthi01.html
Harrison Barnes,Golden State Warriors,GSW,40,SF,6-8,210,"May 30, 1992",us,1,University of North Carolina,/players/b/barneha02.html
Kent Bazemore,Golden State Warriors,GSW,20,SG,6-5,201,"July 1, 1989",us,1,Old Dominion University,/players/b/bazemke01.html
Steve Blake,Golden State Warriors,GSW,25,PG,6-3,172,"February 26, 1980",us,10,University of Maryland,/players/b/blakest01.html
Andrew Bogut,Golden State Warriors,GSW,12,C,7-0,260,"November 28, 1984",au,8,University of Utah,/players/b/bogutan01.html
MarShon Brooks,Golden State Warriors,GSW,2,SG,6-5,200,"January 26, 1989",us,2,Providence College,/players/b/brookma01.html
Jordan Crawford,Golden State Warriors,GSW,55,SG,6-4,195,"October 23, 1988",us,3,Xavier University,/players/c/crawfjo02.html
Stephen Curry,Golden State Warriors,GSW,30,PG,6-3,185,"March 14, 1988",us,4,Davidson College,/players/c/curryst01.html
Dewayne Dedmon,Golden State Warriors,GSW,21,C,7-0,245,"August 12, 1989",us,R,University of Southern California,/players/d/dedmode01.html
Toney Douglas,Golden State Warriors,GSW,0,PG,6-2,195,"March 16, 1986",us,4,Florida State University,/players/d/douglto01.html
Draymond Green,Golden State Warriors,GSW,23,SF,6-7,230,"March 4, 1990",us,1,Michigan State University,/players/g/greendr01.html
Andre Iguodala,Golden State Warriors,GSW,9,SF,6-6,207,"January 28, 1984",us,9,University of Arizona,/players/i/iguodan01.html
Ognjen Kuzmic,Golden State Warriors,GSW,1,C,7-1,251,"May 16, 1990",ba,R,,/players/k/kuzmiog01.html
David Lee,Golden State Warriors,GSW,10,PF,6-9,245,"April 29, 1983",us,8,University of Florida,/players/l/leeda02.html
Nemanja Nedovic,Golden State Warriors,GSW,8,SG,6-3,192,"June 16, 1991",rs,R,,/players/n/nedovne01.html
Jermaine O'Neal,Golden State Warriors,GSW,7,PF,6-11,226,"October 13, 1978",us,17,,/players/o/onealje01.html
Marreese Speights,Golden State Warriors,GSW,5,C,6-10,255,"August 4, 1987",us,5,University of Florida,/players/s/speigma01.html
Klay Thompson,Golden State Warriors,GSW,11,SG,6-7,205,"February 8, 1990",us,2,Washington State University,/players/t/thompkl01.html
Omer Asik,Houston Rockets,HOU,3,C,7-0,255,"July 4, 1986",tr,3,,/players/a/asikom01.html
Patrick Beverley,Houston Rockets,HOU,2,PG,6-1,185,"July 12, 1988",us,1,University of Arkansas,/players/b/beverpa01.html
Ronnie Brewer,Houston Rockets,HOU,10,SF,6-7,220,"March 20, 1985",us,7,University of Arkansas,/players/b/brewero02.html
Aaron Brooks,Houston Rockets,HOU,0,PG,6-0,161,"January 14, 1985",us,5,University of Oregon,/players/b/brookaa01.html
Isaiah Canaan,Houston Rockets,HOU,1,PG,6-0,201,"May 21, 1991",us,R,Murray State University,/players/c/canaais01.html
Omri Casspi,Houston Rockets,HOU,18,PF,6-9,225,"June 22, 1988",il,4,,/players/c/casspom01.html
Robert Covington,Houston Rockets,HOU,33,SF,6-9,215,"December 14, 1990",us,R,Tennessee State University,/players/c/covinro01.html
Troy Daniels,Houston Rockets,HOU,30,SG,6-4,205,"July 15, 1991",us,R,Virginia Commonwealth University,/players/d/danietr01.html
Francisco Garcia,Houston Rockets,HOU,32,SF,6-7,195,"December 31, 1981",do,8,University of Louisville,/players/g/garcifr01.html
Jordan Hamilton,Houston Rockets,HOU,5,SF,6-7,220,"October 6, 1990",us,2,University of Texas at Austin,/players/h/hamiljo02.html
James Harden,Houston Rockets,HOU,13,SG,6-5,220,"August 26, 1989",us,4,Arizona State University,/players/h/hardeja01.html
Dwight Howard,Houston Rockets,HOU,12,C,6-11,265,"December 8, 1985",us,9,,/players/h/howardw01.html
Terrence Jones,Houston Rockets,HOU,6,PF,6-9,252,"January 9, 1992",us,1,University of Kentucky,/players/j/joneste01.html
Jeremy Lin,Houston Rockets,HOU,7,PG,6-3,200,"August 23, 1988",us,3,Harvard University,/players/l/linje01.html
Donatas Motiejunas,Houston Rockets,HOU,20,PF,7-0,222,"September 20, 1990",lt,1,,/players/m/motiedo01.html
Chandler Parsons,Houston Rockets,HOU,25,SF,6-9,227,"October 25, 1988",us,2,University of Florida,/players/p/parsoch01.html
Josh Powell,Houston Rockets,HOU,21,F,6-9,225,"January 25, 1983",us,6,North Carolina State University,/players/p/poweljo01.html
Greg Smith,Houston Rockets,HOU,4,C,6-10,250,"January 8, 1991",us,2,"California State University, Fresno",/players/s/smithgr02.html
Lavoy Allen,Indiana Pacers,IND,5,PF,6-9,255,"February 4, 1989",us,2,Temple University,/players/a/allenla01.html
Rasual Butler,Indiana Pacers,IND,8,SG,6-7,215,"May 23, 1979",us,10,La Salle University,/players/b/butlera01.html
Andrew Bynum,Indiana Pacers,IND,17,C,7-0,285,"October 27, 1987",us,7,,/players/b/bynuman01.html
Chris Copeland,Indiana Pacers,IND,22,SF,6-9,239,"March 17, 1984",us,1,University of Colorado,/players/c/copelch01.html
Paul George,Indiana Pacers,IND,24,SF,6-9,220,"May 2, 1990",us,3,"California State University, Fresno",/players/g/georgpa01.html
Danny Granger,Indiana Pacers,IND,33,SF,6-9,222,"April 20, 1983",us,8,University of New Mexico,/players/g/grangda01.html
Roy Hibbert,Indiana Pacers,IND,55,C,7-2,270,"December 11, 1986",us,5,Georgetown University,/players/h/hibbero01.html
George Hill,Indiana Pacers,IND,3,PG,6-3,188,"May 4, 1986",us,5,Indiana University-Purdue University Indianapolis,/players/h/hillge01.html
Solomon Hill,Indiana Pacers,IND,9,SF,6-7,225,"March 18, 1991",us,R,University of Arizona,/players/h/hillso01.html
Orlando Johnson,Indiana Pacers,IND,11,SG,6-5,220,"March 11, 1989",us,1,"University of California, Santa Barbara",/players/j/johnsor01.html
Ian Mahinmi,Indiana Pacers,IND,28,C,6-11,250,"November 5, 1986",fr,5,,/players/m/mahinia01.html
Luis Scola,Indiana Pacers,IND,4,PF,6-9,240,"April 30, 1980",ar,6,,/players/s/scolalu01.html
Donald Sloan,Indiana Pacers,IND,15,SG,6-3,205,"January 15, 1988",us,2,Texas A&M University,/players/s/sloando01.html
Lance Stephenson,Indiana Pacers,IND,1,SG,6-5,230,"September 5, 1990",us,3,University of Cincinnati,/players/s/stephla01.html
Evan Turner,Indiana Pacers,IND,12,SF,6-7,220,"October 27, 1988",us,3,Ohio State University,/players/t/turneev01.html
C.J. Watson,Indiana Pacers,IND,32,PG,6-2,175,"April 17, 1984",us,6,University of Tennessee,/players/w/watsocj01.html
