name,team,short_team,number,pos,height,weight,birth_date,birth_country,years_experience,college_name,uri
Von Wafer,Boston Celtics,BOS,12,SG,6-5,210,"July 21, 1985",us,4,Florida State University,/players/w/wafervo01.html
Delonte West,Boston Celtics,BOS,13,PG,6-4,180,"July 26, 1983",us,6,Saint Joseph's University,/players/w/westde01.html
Jordan Farmar,Brooklyn Nets,NJN,2,PG,6-2,180,"November 30, 1986",us,4,"University of California, Los Angeles",/players/f/farmajo01.html
Derrick Favors,Brooklyn Nets,NJN,14,PF,6-10,265,"July 15, 1991",us,R,Georgia Institute of Technology,/players/f/favorde01.html
Dan Gadzuric,Brooklyn Nets,NJN,50,PF,6-11,240,"February 2, 1978",nl,8,"University of California, Los Angeles",/players/g/gadzuda01.html
Sundiata Gaines,Brooklyn Nets,NJN,0,PG,6-1,185,"April 18, 1986",us,1,University of Georgia,/players/g/gainesu01.html
Stephen Graham,Brooklyn Nets,NJN,26,SG,6-6,215,"June 11, 1982",us,5,Oklahoma State University,/players/g/grahast01.html
Orien Greene,Brooklyn Nets,NJN,0,SG,6-4,208,"February 4, 1982",us,3,University of Louisiana at Lafayette,/players/g/greenor01.html
Devin Harris,Brooklyn Nets,NJN,34,PG,6-3,192,"February 27, 1983",us,6,University of Wisconsin,/players/h/harride01.html
Kris Humphries,Brooklyn Nets,NJN,43,PF,6-9,235,"February 6, 1985",us,6,University of Minnesota,/players/h/humphkr01.html
Damion James,Brooklyn Nets,NJN,10,SF,6-7,225,"October 7, 1987",us,R,University of Texas at Austin,/players/j/jamesda01.html
Brook Lopez,Brooklyn Nets,NJN,11,C,7-0,275,"April 1, 1988",us,2,Stanford University,/players/l/lopezbr01.html
Anthony Morrow,Brooklyn Nets,NJN,22,SG,6-5,210,"September 27, 1985",us,2,Georgia Institute of Technology,/players/m/morroan01.html
Troy Murphy,Brooklyn Nets,NJN,7,PF,6-11,245,"May 2, 1980",us,9,University of Notre Dame,/players/m/murphtr01.html
Travis Outlaw,Brooklyn Nets,NJN,21,SF,6-9,210,"September 18, 1984",us,7,,/players/o/outlatr01.html
Johan Petro,Brooklyn Nets,NJN,27,C,7-0,247,"January 27, 1986",fr,5,,/players/p/petrojo01.html
Quinton Ross,Brooklyn Nets,NJN,13,SF,6-6,195,"April 30, 1981",us,6,Southern Methodist University,/players/r/rossqu01.html
Joe Smith,Brooklyn Nets,NJN,8,PF,6-10,225,"July 26, 1975",us,15,University of Maryland,/players/s/smithjo02.html
Ben Uzoh,Brooklyn Nets,NJN,18,PG,6-3,205,"March 19, 1988",us,R,University of Tulsa,/players/u/uzohbe01.html
Sasha Vujacic,Brooklyn Nets,NJN,20,SG,6-7,195,"March 8, 1984",si,6,,/players/v/vujacsa01.html
Mario West,Brooklyn Nets,NJN,6,SG,6-5,210,"June 19, 1984",us,3,Georgia Institute of Technology,/players/w/westma02.html
Deron Williams,Brooklyn Nets,NJN,8,PG,6-3,200,"June 26, 1984",us,5,University of Illinois at Urbana-Champaign,/players/w/willide01.html
Terrence Williams,Brooklyn Nets,NJN,1,SG,6-6,220,"June 28, 1987",us,1,University of Louisville,/players/w/willite01.html
Brandan Wright,Brooklyn Nets,NJN,32,PF,6-10,210,"October 5, 1987",us,2,University of North Carolina,/players/w/wrighbr03.html
D.J. Augustin,Charlotte Hornets,CHA,14,PG,6-0,183,"November 10, 1987",us,2,University of Texas at Austin,/players/a/augusdj01.html
Derrick Brown,Charlotte Hornets,CHA,4,SF,6-7,225,"September 8, 1987",us,1,Xavier University,/players/b/brownde04.html
Kwame Brown,Charlotte Hornets,CHA,54,C,6-11,270,"March 10, 1982",us,9,,/players/b/brownkw01.html
Matt Carroll,Charlotte Hornets,CHA,33,SG,6-6,212,"August 28, 1980",us,7,University of Notre Dame,/players/c/carroma01.html
Sherron Collins,Charlotte Hornets,CHA,11,PG,5-11,205,"March 18, 1987",us,R,University of Kansas,/players/c/collish01.html
Dante Cunningham,Charlotte Hornets,CHA,44,PF,6-8,230,"April 22, 1987",us,1,Villanova University,/players/c/cunnida01.html
Boris Diaw,Charlotte Hornets,CHA,32,PF,6-8,250,"April 16, 1982",fr,7,,/players/d/diawbo01.html
DeSagana Diop,Charlotte Hornets,CHA,7,C,7-0,300,"January 30, 1982",sn,9,,/players/d/diopde01.html
Gerald Henderson,Charlotte Hornets,CHA,15,SG,6-5,215,"December 9, 1987",us,1,Duke University,/players/h/hendege02.html
Stephen Jackson,Charlotte Hornets,CHA,1,SG,6-8,218,"April 5, 1978",us,10,Butler County Community College,/players/j/jacksst02.html
Shaun Livingston,Charlotte Hornets,CHA,2,PG,6-7,192,"September 11, 1985",us,5,,/players/l/livinsh01.html
Dominic McGuire,Charlotte Hornets,CHA,5,SF,6-9,220,"October 20, 1985",us,3,"California State University, Fresno",/players/m/mcguido01.html
Nazr Mohammed,Charlotte Hornets,CHA,13,C,6-10,221,"September 5, 1977",us,12,University of Kentucky,/players/m/mohamna01.html
Eduardo Najera,Charlotte Hornets,CHA,21,PF,6-8,240,"July 11, 1976",mx,10,University of Oklahoma,/players/n/najered01.html
Joel Przybilla,Charlotte Hornets,CHA,10,C,7-1,255,"October 10, 1979",us,10,University of Minnesota,/players/p/przybjo01.html
Garrett Temple,Charlotte Hornets,CHA,41,PG,6-6,195,"May 8, 1986",us,1,Louisiana State University,/players/t/templga01.html
Tyrus Thomas,Charlotte Hornets,CHA,12,C,6-9,215,"August 17, 1986",us,4,Louisiana State University,/players/t/thomaty01.html
Gerald Wallace,Charlotte Hornets,CHA,3,SF,6-7,215,"July 23, 1982",us,9,University of Alabama,/players/w/wallage01.html
D.J. White,Charlotte Hornets,CHA,8,C,6-9,251,"August 31, 1986",us,2,Indiana University,/players/w/whitedj01.html
Omer Asik,Chicago Bulls,CHI,3,C,7-0,255,"July 4, 1986",tr,R,,/players/a/asikom01.html
Keith Bogans,Chicago Bulls,CHI,6,SG,6-5,215,"May 12, 1980",us,7,University of Kentucky,/players/b/boganke01.html
Carlos Boozer,Chicago Bulls,CHI,5,C,6-9,258,"November 20, 1981",de,8,Duke University,/players/b/boozeca01.html
Ronnie Brewer,Chicago Bulls,CHI,11,SG,6-7,220,"March 20, 1985",us,4,University of Arkansas,/players/b/brewero02.html
Rasual Butler,Chicago Bulls,CHI,45,SG,6-7,215,"May 23, 1979",us,8,La Salle University,/players/b/butlera01.html
Luol Deng,Chicago Bulls,CHI,9,SF,6-9,220,"April 16, 1985",ss,6,Duke University,/players/d/denglu01.html
Taj Gibson,Chicago Bulls,CHI,22,PF,6-9,225,"June 24, 1985",us,1,University of Southern California,/players/g/gibsota01.html
James Johnson,Chicago Bulls,CHI,16,SF,6-9,250,"February 20, 1987",us,1,Wake Forest University,/players/j/johnsja01.html
Kyle Korver,Chicago Bulls,CHI,26,SG,6-7,212,"March 17, 1981",us,7,Creighton University,/players/k/korveky01.html
John Lucas III,Chicago Bulls,CHI,15,PG,5-11,166,"November 21, 1982",us,2,Oklahoma State University,/players/l/lucasjo02.html
Joakim Noah,Chicago Bulls,CHI,13,C,6-11,230,"February 25, 1985",us,3,University of Florida,/players/n/noahjo01.html
Derrick Rose,Chicago Bulls,CHI,1,PG,6-3,190,"October 4, 1988",us,2,University of Memphis,/players/r/rosede01.html
Brian Scalabrine,Chicago Bulls,CHI,24,PF,6-9,241,"March 18, 1978",us,9,University of Southern California,/players/s/scalabr01.html
Kurt Thomas,Chicago Bulls,CHI,40,PF,6-9,230,"October 4, 1972",us,15,Texas Christian University,/players/t/thomaku01.html
C.J. Watson,Chicago Bulls,CHI,32,PG,6-2,175,"April 17, 1984",us,3,University of Tennessee,/players/w/watsocj01.html
Baron Davis,Cleveland Cavaliers,CLE,85,PG,6-3,209,"April 13, 1979",us,11,"University of California, Los Angeles",/players/d/davisba01.html
Semih Erden,Cleveland Cavaliers,CLE,9,C,7-0,240,"July 28, 1986",tr,R,,/players/e/erdense01.html
Christian Eyenga,Cleveland Cavaliers,CLE,8,SF,6-5,210,"June 22, 1989",cd,R,,/players/e/eyengch01.html
Alonzo Gee,Cleveland Cavaliers,CLE,33,SG,6-6,225,"May 29, 1987",us,1,University of Alabama,/players/g/geeal01.html
Daniel Gibson,Cleveland Cavaliers,CLE,1,SG,6-2,190,"February 27, 1986",us,4,University of Texas at Austin,/players/g/gibsoda01.html
Joey Graham,Cleveland Cavaliers,CLE,12,SF,6-7,225,"June 11, 1982",us,5,Oklahoma State University,/players/g/grahajo01.html
Luke Harangody,Cleveland Cavaliers,CLE,44,PF,6-8,246,"January 2, 1988",us,R,University of Notre Dame,/players/h/haranlu01.html
Manny Harris,Cleveland Cavaliers,CLE,6,SG,6-5,185,"September 21, 1989",us,R,University of Michigan,/players/h/harrima01.html
J.J. Hickson,Cleveland Cavaliers,CLE,21,C,6-9,242,"September 4, 1988",us,2,North Carolina State University,/players/h/hicksjj01.html
Ryan Hollins,Cleveland Cavaliers,CLE,5,C,7-0,240,"October 10, 1984",us,4,"University of California, Los Angeles",/players/h/holliry01.html
Antawn Jamison,Cleveland Cavaliers,CLE,4,PF,6-8,223,"June 12, 1976",us,12,University of North Carolina,/players/j/jamisan01.html
Jamario Moon,Cleveland Cavaliers,CLE,15,SF,6-8,205,"June 13, 1980",us,3,Meridian Community College,/players/m/moonja01.html
Anthony Parker,Cleveland Cavaliers,CLE,18,SF,6-6,215,"June 19, 1975",us,7,Bradley University,/players/p/parkean01.html
Leon Powe,Cleveland Cavaliers,CLE,44,PF,6-8,240,"January 22, 1984",us,4,University of California,/players/p/powele01.html
Samardo Samuels,Cleveland Cavaliers,CLE,24,PF,6-9,260,"January 9, 1989",jm,R,University of Louisville,/players/s/samuesa01.html
Ramon Sessions,Cleveland Cavaliers,CLE,3,PG,6-3,190,"April 11, 1986",us,3,"University of Nevada, Reno",/players/s/sessira01.html
Anderson Varejao,Cleveland Cavaliers,CLE,17,C,6-10,273,"September 28, 1982",br,6,,/players/v/varejan01.html
Jawad Williams,Cleveland Cavaliers,CLE,31,SF,6-9,218,"February 19, 1983",us,2,University of North Carolina,/players/w/willija04.html
Mo Williams,Cleveland Cavaliers,CLE,2,PG,6-1,198,"December 19, 1982",us,7,University of Alabama,/players/w/willima01.html
Alexis Ajinca,Dallas Mavericks,DAL,8,C,7-2,248,"May 6, 1988",fr,2,,/players/a/ajincal01.html
J.J. Barea,Dallas Mavericks,DAL,11,PG,6-0,185,"June 26, 1984",pr,4,Northeastern University,/players/b/bareajo01.html
Rodrigue Beaubois,Dallas Mavericks,DAL,3,PG,6-0,170,"February 24, 1988",gp,1,,/players/b/beaubro01.html
Corey Brewer,Dallas Mavericks,DAL,13,SG,6-9,186,"March 5, 1986",us,3,University of Florida,/players/b/breweco01.html
Caron Butler,Dallas Mavericks,DAL,4,SF,6-7,228,"March 13, 1980",us,8,University of Connecticut,/players/b/butleca01.html
Brian Cardinal,Dallas Mavericks,DAL,35,SF,6-8,245,"May 2, 1977",us,10,Purdue University,/players/c/cardibr01.html
Tyson Chandler,Dallas Mavericks,DAL,6,C,7-1,240,"October 2, 1982",us,9,,/players/c/chandty01.html
Brendan Haywood,Dallas Mavericks,DAL,33,C,7-0,268,"November 27, 1979",us,9,University of North Carolina,/players/h/haywobr01.html
Dominique Jones,Dallas Mavericks,DAL,20,SG,6-4,215,"October 15, 1988",us,R,University of South Florida,/players/j/jonesdo02.html
Jason Kidd,Dallas Mavericks,DAL,2,PG,6-4,205,"March 23, 1973",us,16,University of California,/players/k/kiddja01.html
Ian Mahinmi,Dallas Mavericks,DAL,28,C,6-11,250,"November 5, 1986",fr,2,,/players/m/mahinia01.html
Shawn Marion,Dallas Mavericks,DAL,0,SF,6-7,220,"May 7, 1978",us,11,"University of Nevada, Las Vegas",/players/m/mariosh01.html
Steve Novak,Dallas Mavericks,DAL,21,SF,6-10,225,"June 13, 1983",us,4,Marquette University,/players/n/novakst01.html
Dirk Nowitzki,Dallas Mavericks,DAL,41,PF,7-0,245,"June 19, 1978",de,12,,/players/n/nowitdi01.html
Sasha Pavlovic,Dallas Mavericks,DAL,7,SF,6-8,220,"November 15, 1983",me,7,,/players/p/pavloal01.html
DeShawn Stevenson,Dallas Mavericks,DAL,92,SG,6-5,210,"April 3, 1981",us,10,,/players/s/stevede01.html
Peja Stojakovic,Dallas Mavericks,DAL,16,SF,6-9,220,"June 9, 1977",hr,12,,/players/s/stojape01.html
Jason Terry,Dallas Mavericks,DAL,31,SG,6-2,185,"September 15, 1977",us,11,University of Arizona,/players/t/terryja01.html
Arron Afflalo,Denver Nuggets,DEN,6,SG,6-5,210,"October 15, 1985",us,3,"University of California, Los Angeles",/players/a/afflaar01.html
Chris Andersen,Denver Nuggets,DEN,11,C,6-10,245,"July 7, 1978",us,8,Blinn College,/players/a/anderch01.html
Carmelo Anthony,Denver Nuggets,DEN,15,SF,6-8,240,"May 29, 1984",us,7,Syracuse University,/players/a/anthoca01.html
Renaldo Balkman,Denver Nuggets,DEN,32,SF,6-8,208,"July 14, 1984",us,4,University of South Carolina,/players/b/balkmre01.html
Chauncey Billups,Denver Nuggets,DEN,1,PG,6-3,202,"September 25, 1976",us,13,University of Colorado,/players/b/billuch01.html
Anthony Carter,Denver Nuggets,DEN,25,PG,6-1,190,"June 16, 1975",us,11,University of Hawaii,/players/c/cartean01.html
Wilson Chandler,Denver Nuggets,DEN,21,SF,6-8,225,"May 10, 1987",us,3,DePaul University,/players/c/chandwi01.html
Melvin Ely,Denver Nuggets,DEN,34,C,6-10,260,"May 2, 1978",us,7,"California State University, Fresno",/players/e/elyme01.html
Raymond Felton,Denver Nuggets,DEN,20,SG,6-1,205,"June 26, 1984",us,5,University of North Carolina,/players/f/feltora01.html
Gary Forbes,Denver Nuggets,DEN,0,SF,6-7,220,"February 25, 1985",pa,R,University of Massachusetts Amherst,/players/f/forbega01.html
Danilo Gallinari,Denver Nuggets,DEN,8,SF,6-10,225,"August 8, 1988",it,2,,/players/g/gallida01.html
Al Harrington,Denver Nuggets,DEN,7,PF,6-9,230,"February 17, 1980",us,12,,/players/h/harrial01.html
Nene Hilario,Denver Nuggets,DEN,31,C,6-11,250,"September 13, 1982",br,8,,/players/h/hilarne01.html
Kosta Koufos,Denver Nuggets,DEN,41,C,7-0,265,"February 24, 1989",us,2,Ohio State University,/players/k/koufoko01.html
Ty Lawson,Denver Nuggets,DEN,3,PG,5-11,195,"November 3, 1987",us,1,University of North Carolina,/players/l/lawsoty01.html
Kenyon Martin,Denver Nuggets,DEN,4,PF,6-9,234,"December 30, 1977",us,10,University of Cincinnati,/players/m/martike01.html
Timofey Mozgov,Denver Nuggets,DEN,25,C,7-1,275,"July 16, 1986",ru,R,,/players/m/mozgoti01.html
J.R. Smith,Denver Nuggets,DEN,5,SF,6-6,225,"September 9, 1985",us,6,,/players/s/smithjr01.html
Shelden Williams,Denver Nuggets,DEN,23,PF,6-9,250,"October 21, 1983",us,4,Duke University,/players/w/willish02.html
Will Bynum,Detroit Pistons,DET,12,PG,6-0,185,"January 4, 1983",us,3,Georgia Institute of Technology,/players/b/bynumwi01.html
Austin Daye,Detroit Pistons,DET,5,SF,6-11,220,"June 5, 1988",us,1,Gonzaga University,/players/d/dayeau01.html
Ben Gordon,Detroit Pistons,DET,7,SG,6-3,200,"April 4, 1983",gb,6,University of Connecticut,/players/g/gordobe01.html
Richard Hamilton,Detroit Pistons,DET,32,SG,6-6,185,"February 14, 1978",us,11,University of Connecticut,/players/h/hamilri01.html
Jason Maxiell,Detroit Pistons,DET,54,PF,6-7,260,"February 18, 1983",us,5,University of Cincinnati,/players/m/maxieja01.html
Tracy McGrady,Detroit Pistons,DET,1,SG,6-8,210,"May 24, 1979",us,13,,/players/m/mcgratr01.html
Greg Monroe,Detroit Pistons,DET,10,C,6-11,265,"June 4, 1990",us,R,Georgetown University,/players/m/monrogr01.html
Tayshaun Prince,Detroit Pistons,DET,22,SF,6-9,212,"February 28, 1980",us,8,University of Kentucky,/players/p/princta01.html
Rodney Stuckey,Detroit Pistons,DET,3,PG,6-5,210,"April 21, 1986",us,3,Eastern Washington University,/players/s/stuckro01.html
DaJuan Summers,Detroit Pistons,DET,35,SF,6-8,230,"January 24, 1988",us,1,Georgetown University,/players/s/summeda01.html
Charlie Villanueva,Detroit Pistons,DET,31,PF,6-11,232,"August 24, 1984",us,5,University of Connecticut,/players/v/villach01.html
Ben Wallace,Detroit Pistons,DET,6,C,6-9,240,"September 10, 1974",us,14,Virginia Union University,/players/w/wallabe01.html
Chris Wilcox,Detroit Pistons,DET,9,PF,6-10,221,"September 3, 1982",us,8,University of Maryland,/players/w/wilcoch01.html
Jeff Adrien,Golden State Warriors,GSW,4,PF,6-7,245,"February 10, 1986",us,R,University of Connecticut,/players/a/adrieje01.html
Lou Amundson,Golden State Warriors,GSW,19,PF,6-9,220,"December 7, 1982",us,4,"University of Nevada, Las Vegas",/players/a/amundlo01.html
Charlie Bell,Golden State Warriors,GSW,34,SG,6-3,200,"March 12, 1979",us,6,Michigan State University,/players/b/bellch01.html
Andris Biedrins,Golden State Warriors,GSW,15,C,6-11,240,"April 2, 1986",lv,6,,/players/b/biedran01.html
Rodney Carney,Golden State Warriors,GSW,25,SF,6-7,205,"April 15, 1984",us,4,University of Memphis,/players/c/carnero01.html
Stephen Curry,Golden State Warriors,GSW,30,PG,6-3,190,"March 14, 1988",us,1,Davidson College,/players/c/curryst01.html
Monta Ellis,Golden State Warriors,GSW,8,SG,6-3,185,"October 26, 1985",us,5,,/players/e/ellismo01.html
Dan Gadzuric,Golden State Warriors,GSW,50,C,6-11,240,"February 2, 1978",nl,8,"University of California, Los Angeles",/players/g/gadzuda01.html
Acie Law,Golden State Warriors,GSW,2,PG,6-3,195,"January 25, 1985",us,3,Texas A&M University,/players/l/lawac01.html
David Lee,Golden State Warriors,GSW,10,PF,6-9,245,"April 29, 1983",us,5,University of Florida,/players/l/leeda02.html
Jeremy Lin,Golden State Warriors,GSW,7,PG,6-3,200,"August 23, 1988",us,R,Harvard University,/players/l/linje01.html
Vladimir Radmanovic,Golden State Warriors,GSW,77,PF,6-10,227,"November 19, 1980",ba,9,,/players/r/radmavl01.html
Al Thornton,Golden State Warriors,GSW,23,PF,6-8,220,"December 7, 1983",us,3,Florida State University,/players/t/thornal01.html
Ekpe Udoh,Golden State Warriors,GSW,20,C,6-10,240,"May 20, 1987",us,R,Baylor University,/players/u/udohek01.html
Reggie Williams,Golden State Warriors,GSW,55,SF,6-6,205,"September 14, 1986",us,1,Virginia Military Institute,/players/w/willire02.html
Brandan Wright,Golden State Warriors,GSW,32,PF,6-10,210,"October 5, 1987",us,2,University of North Carolina,/players/w/wrighbr03.html
Dorell Wright,Golden State Warriors,GSW,1,SF,6-9,205,"December 2, 1985",us,6,,/players/w/wrighdo01.html
Shane Battier,Houston Rockets,HOU,31,SF,6-8,220,"September 9, 1978",us,9,Duke University,/players/b/battish01.html
Aaron Brooks,Houston Rockets,HOU,0,PG,6-0,161,"January 14, 1985",us,3,University of Oregon,/players/b/brookaa01.html
Chase Budinger,Houston Rockets,HOU,10,SF,6-7,209,"May 22, 1988",us,1,University of Arizona,/players/b/budinch01.html
DeMarre Carroll,Houston Rockets,HOU,0,PF,6-8,215,"July 27, 1986",us,1,University of Missouri,/players/c/carrode01.html
Goran Dragic,Houston Rockets,HOU,3,PG,6-3,190,"May 6, 1986",si,2,,/players/d/dragigo01.html
Mike Harris,Houston Rockets,HOU,33,PF,6-6,240,"June 15, 1983",us,2,Rice University,/players/h/harrimi01.html
Chuck Hayes,Houston Rockets,HOU,44,C,6-6,240,"June 11, 1983",us,5,University of Kentucky,/players/h/hayesch01.html
Jordan Hill,Houston Rockets,HOU,27,C,6-10,235,"July 27, 1987",us,1,University of Arizona,/players/h/hilljo01.html
Jared Jeffries,Houston Rockets,HOU,20,PF,6-11,230,"November 25, 1981",us,8,Indiana University,/players/j/jeffrja01.html
Courtney Lee,Houston Rockets,HOU,5,SG,6-5,200,"October 3, 1985",us,2,Western Kentucky University,/players/l/leeco01.html
Kyle Lowry,Houston Rockets,HOU,7,PG,6-1,196,"March 25, 1986",us,4,Villanova University,/players/l/lowryky01.html
Kevin Martin,Houston Rockets,HOU,12,SG,6-7,199,"February 1, 1983",us,6,Western Carolina University,/players/m/martike02.html
Brad Miller,Houston Rockets,HOU,52,C,6-11,244,"April 12, 1976",us,12,Purdue University,/players/m/millebr01.html
Yao Ming,Houston Rockets,HOU,11,C,7-6,310,"September 12, 1980",cn,7,,/players/m/mingya01.html
Patrick Patterson,Houston Rockets,HOU,54,PF,6-9,230,"March 14, 1989",us,R,University of Kentucky,/players/p/pattepa01.html
Luis Scola,Houston Rockets,HOU,4,PF,6-9,240,"April 30, 1980",ar,3,,/players/s/scolalu01.html
Ish Smith,Houston Rockets,HOU,13,PG,6-0,175,"July 5, 1988",us,R,Wake Forest University,/players/s/smithis01.html
Jermaine Taylor,Houston Rockets,HOU,8,SG,6-4,210,"December 8, 1986",us,1,University of Central Florida,/players/t/tayloje02.html
Hasheem Thabeet,Houston Rockets,HOU,32,C,7-3,263,"February 16, 1987",tz,1,University of Connecticut,/players/t/thabeha01.html
Terrence Williams,Houston Rockets,HOU,1,SG,6-6,220,"June 28, 1987",us,1,University of Louisville,/players/w/willite01.html
Darren Collison,Indiana Pacers,IND,2,PG,6-0,175,"August 23, 1987",us,1,"University of California, Los Angeles",/players/c/collida01.html
Mike Dunleavy,Indiana Pacers,IND,17,SG,6-9,230,"September 15, 1980",us,8,Duke University,/players/d/dunlemi02.html
T.J. Ford,Indiana Pacers,IND,5,PG,6-0,165,"March 24, 1983",us,6,University of Texas at Austin,/players/f/fordtj01.html
Jeff Foster,Indiana Pacers,IND,10,C,6-11,236,"January 16, 1977",us,11,Texas State University,/players/f/fosteje01.html
Paul George,Indiana Pacers,IND,24,SG,6-9,220,"May 2, 1990",us,R,"California State University, Fresno",/players/g/georgpa01.html
Danny Granger,Indiana Pacers,IND,33,SF,6-9,222,"April 20, 1983",us,5,University of New Mexico,/players/g/grangda01.html
Tyler Hansbrough,Indiana Pacers,IND,50,PF,6-9,250,"November 3, 1985",us,1,University of North Carolina,/players/h/hansbty01.html
Roy Hibbert,Indiana Pacers,IND,55,C,7-2,270,"December 11, 1986",us,2,Georgetown University,/players/h/hibbero01.html
Dahntay Jones,Indiana Pacers,IND,1,SG,6-6,225,"December 27, 1980",us,7,Duke University,/players/j/jonesda02.html
Solomon Jones,Indiana Pacers,IND,44,C,6-10,230,"July 16, 1984",us,4,University of South Florida,/players/j/jonesso01.html
Josh McRoberts,Indiana Pacers,IND,32,PF,6-10,240,"February 28, 1987",us,3,Duke University,/players/m/mcrobjo01.html
James Posey,Indiana Pacers,IND,41,SF,6-8,215,"January 13, 1977",us,11,Xavier University,/players/p/poseyja01.html
A.J. Price,Indiana Pacers,IND,12,PG,6-2,181,"October 7, 1986",us,1,University of Connecticut,/players/p/priceaj01.html
Brandon Rush,Indiana Pacers,IND,25,SG,6-6,220,"July 7, 1985",us,2,University of Kansas,/players/r/rushbr01.html
